target,source,group,lat,long
Cairo,Adam Henein,1,31.23571,30.04442
Cairo,Suad Al Attar,1,31.23571,30.04442
Cairo,Mahmoud Refat,1,31.23571,30.04442
Cairo,Khalid al-Jader,1,31.23571,30.04442
Cairo,Mai Al Ibrashy,1,31.23571,30.04442
Cairo,Moayad Hakim,1,31.23571,30.04442
Cairo,Ali Jabri,1,31.23571,30.04442
Cairo,Susan Hefu,1,31.23571,30.04442
Cairo,Seif Wanly,1,31.23571,30.04442
Cairo,Haytham el Wardany,1,31.23571,30.04442
Caldwell,Asad Faulwell,1,-116.6874,43.66294
California,David Claerbout,1,-119.4179,36.77826
California,Mohammed Al Ghamdi,1,-119.4179,36.77826
California,Latifa Echakhch,1,-119.4179,36.77826
California,Amir H. Fallah,1,-119.4179,36.77826
California,Shahzia Sikander,1,-119.4179,36.77826
California,Sherin Guirguis,1,-119.4179,36.77826
California,Mehran Mesbah,1,-119.4179,36.77826
California,Maha Maamoun,1,-119.4179,36.77826
California,Ala Ebtekar,1,-119.4179,36.77826
California,CAMP,1,-119.4179,36.77826
California,Asad Faulwell,1,-119.4179,36.77826
California,Ali Jabri,1,-119.4179,36.77826
California,Graziella Rizkallah Toufic,1,-119.4179,36.77826
California,Ru Islam,1,-119.4179,36.77826
California,Simone Fattal,1,-119.4179,36.77826
California,Juma Man ,1,-119.4179,36.77826
California,Ayman Ramadan,1,-119.4179,36.77826
Cambridge,Ren├⌐ Gabri,1,-71.10973,42.37362
Cambridge,Rashid Masharawi,1,-71.10973,42.37362
Cambridge,Ayreen Astas,1,-71.10973,42.37362
Cambridge,Lamia Joreige,1,-71.10973,42.37362
Cambridge,Burak Arikan,1,-71.10973,42.37362
Cambridge,Jayce Salloum,1,-71.10973,42.37362
Camp Campaign,Ayreen Astas,1,-85.64255,35.7977
Camp Campaign,Ren├⌐ Gabri,1,-85.64255,35.7977
camp Shuafat,Jawad Al Malhi,1,35.23413,31.80738
Cada,Noma Omran,1,-106.3468,56.13037
Cada,Ahmed Foula,1,-106.3468,56.13037
Cada,Abbas Akhavan,1,-106.3468,56.13037
Cada,Anri Sala,1,-106.3468,56.13037
Cada,Haig Aivazian,1,-106.3468,56.13037
Cada,CAMP,1,-106.3468,56.13037
Cada,Nil Yalter,1,-106.3468,56.13037
Cada,Khaled Sabsabi,1,-106.3468,56.13037
Cada,Zahra Bu Ali,1,-106.3468,56.13037
Cada,Ru Islam,1,-106.3468,56.13037
Cada,Jayce Salloum,1,-106.3468,56.13037
Cada,Ahmad Kosh,1,-106.3468,56.13037
Cada,Mehran Mesbah,1,-106.3468,56.13037
Cada,Arwa Abouon,1,-106.3468,56.13037
Cannes,Pouya Parsamagham,1,7.017369,43.55285
Cannes,Khalil Joreige,1,7.017369,43.55285
