source,edgetype,target
Ahmed Mater,Location,Miami
Ahmed Mater,Date,2012
Ahmed Mater,Organization,Leiden Museum Amsterdam
Ahmed Mater,Date,2013
Ahmed Mater,Organization,British Museum (London)
Ahmed Mater,Organization,Victoria & Albert Museum (London)
Ahmed Mater,Organization,Los Angeles County Museum of Art (Los Angeles)
Ahmed Mater,Organization,Museum of Islamic Art (Doha)
Ahmed Mater,Organization,Centre Pompidou (Paris)
Aisha  Khalid,Person,Aisha  Khalid
Aisha  Khalid,Address,http://www.sharjahart.org/people/people-by-alphabet/k/khalid-aisha
Aisha  Khalid,Organization,National College of Arts
Aisha  Khalid,Location,Lahore
Aisha  Khalid,Person,Khalid
Aisha  Khalid,Location,Amsterdam
Aisha  Khalid,Date,2002
Aisha  Khalid,Date,last decade
Aisha  Khalid,Location,Pakistan
Aisha  Khalid,Location,US
Aisha  Khalid,Location,India
Aisha  Khalid,Location,UK
Aisha  Khalid,Date,2009
Aisha  Khalid,Organization,Venice Biennale
Aisha  Khalid,Location,Lahore
Akram Zaatari,Person,Akram Zaatari
Akram Zaatari,Address,http://www.sharjahart.org/people/people-by-alphabet/z/zaatari-akram
Akram Zaatari,Person,Akram Zaatari
Akram Zaatari,Organization,Arab Image Foundation
Akram Zaatari,Date,the 1990s
Akram Zaatari,Person,Zaatari
Akram Zaatari,Location,Middle East
Akram Zaatari,Organization,House
Akram Zaatari,Date,2005
Akram Zaatari,Date,2003
Akram Zaatari,Date,2001
Akram Zaatari,Date,1997
Akram Zaatari,Organization,Tate Modern
Akram Zaatari,Organization,French Cinemathèque
Akram Zaatari,Organization,Oberhausen Short Film Festival
Akram Zaatari,Organization,Centre Georges Pompidou
Akram Zaatari,Location,Paris
Akram Zaatari,Location,Munich
Akram Zaatari,Organization,Sfeir-Semler Gallery Beirut
Akram Zaatari,Location,Hamburg
Akram Zaatari,Organization,Venice Biennale
Akram Zaatari,Date,2007
Akram Zaatari,Organization,Gawangju
Akram Zaatari,Location,Sydney
Akram Zaatari,Location,Sao
Akram Zaatari,Person,Paolo
Akram Zaatari,Date,2006
Akram Zaatari,Location,Beirut
Alan Bishop,Person,Alan Bishop
Alan Bishop,Address,http://www.sharjahart.org/people/people-by-alphabet/b/bishop-alan
Alan Bishop,Location,Sun City
Alan Bishop,Person,Alan Bishop
Alan Bishop,Date,past 30 years
Alan Bishop,Origin,American
Alan Bishop,Organization,His Abduction Records
Alan Bishop,Date,1993
Alan Bishop,Date,today
Alan Bishop,Person,Alan
Alan Bishop,Date,2003
Alberto Duman,Person,Alberto Duman
Alberto Duman,Address,http://www.sharjahart.org/people/people-by-alphabet/d/duman-alberto
Alberto Duman,Person,Duman
Alberto Duman,Location,UK
Alberto Duman,Person,Duman
Alberto Duman,Organization,Sharjah Biennial
Alberto Duman,Date,2009
Alberto Duman,Organization,Sharjah Art Museum
Alberto Duman,Organization,Biennial
Alberto Duman,Person,Duman
Alberto Duman,Location,UK
Alberto Duman,Person,Stephen Lawrence Gallery
Alberto Duman,Organization,University of Greenwich
Alberto Duman,Location,London
Alberto Duman,Date,2009
Alberto Duman,Person,Art Place
Alberto Duman,Location,London
Alberto Duman,Date,2007
Alberto Duman,Location,Cardiff
Alberto Duman,Location,Wales
Alberto Duman,Date,2006
Alberto Duman,Location,London
Alberto Duman,Organization,Guggenheim Walthamstow
Alberto Duman,Date,2005
Alberto Duman,Location,East London
Alberto Duman,Person,Alberto Duman
Alberto Duman,Location,Milan
Alberto Duman,Location,Italy
Alberto Duman,Date,1966
Alberto Duman,Location,UK
Alberto Duman,Organization,Camberwell College of Art
Alberto Duman,Date,1996
Alberto Duman,Organization,University of Wales
Alberto Duman,Location,UK
Alberto Duman,Organization,University of Wolverhampton
Alberto Duman,Organization,Camberwell College of Art
Alberto Duman,Organization,Middlesex University
Alberto Duman,Location,London
Alberto Duman,Date,October 2010
Alexandar Ugay,Person,Alexandar Ugay
Alexandar Ugay,Address,http://www.sharjahart.org/people/people-by-alphabet/u/ugay-alexandar
Alexandar Ugay,Person,Alexandar Ugay
Alexandar Ugay,Date,1978
Alexandar Ugay,Location,Kazakhstan
Alexandar Ugay,Organization,Centre Pompidou
Alexandar Ugay,Location,Paris
Alexander  Markov,Person,Alexander  Markov
Alexander  Markov,Address,http://www.sharjahart.org/people/people-by-alphabet/m/markov-alexander
Alexander  Markov,Person,Alexander Markov
Alexander  Markov,Organization,Petersburg University of Culture
Alexander  Markov,Organization,Arts
Alexander  Markov,Organization,Cinema History Department
Alexander  Markov,Organization,
Alexander  Markov,Organization,Konrad Wolf University of Film
Alexander  Markov,Location,Potsdam
Alexander  Markov,Date,2003
Alexander  Markov,Person,Wim Wenders
Alexander  Markov,Origin,German
Alexander  Markov,Origin,Russian
Alexander  Markov,Date,2005
Alexander  Markov,Location,Petersburg
Alexander  Markov,Organization,Cinema and Television
Alexander  Markov,Person,Markov
Alexander  Markov,Date,2000
Alexander  Markov,Date,2003
Alexander  Markov,Person,Nick Teplov
Alexander  Markov,Date,2008
Alexander  Markov,Date,2010
Alexander  Markov,Date,2010
Alexander  Markov,Organization,13th PURE DREAMS International
Alexander  Markov,Organization,Film
Alexander  Markov,Location,Petersburg
Alexis Bhagat,Person,Alexis Bhagat
Alexis Bhagat,Address,http://www.sharjahart.org/people/people-by-alphabet/b/bhagat-alexis
Alexis Bhagat,Person,Alexis Bhagat
Alexis Bhagat,Person,Lauren Rosati
Alexis Bhagat,Date,2006
Alexis Bhagat,Person,Bhagat
Alfredo  Jaar,Person,Alfredo  Jaar
Alfredo  Jaar,Address,http://www.sharjahart.org/people/people-by-alphabet/j/jaar-alfredo
Alfredo  Jaar,Person,Alfredo Jaar
Alfredo  Jaar,Location,Venice
Alfredo  Jaar,Date,1986
Alfredo  Jaar,Date,2007
Alfredo  Jaar,Location,São Paulo
Alfredo  Jaar,Date,1987
Alfredo  Jaar,Date,1989
Alfredo  Jaar,Date,2010
Alfredo  Jaar,Location,Sydney
Alfredo  Jaar,Date,1990
Alfredo  Jaar,Location,Kwangju
Alfredo  Jaar,Date,1995
Alfredo  Jaar,Date,2000
Alfredo  Jaar,Location,Johannesburg
Alfredo  Jaar,Date,1997
Alfredo  Jaar,Organization,Documenta
Alfredo  Jaar,Date,1987
Alfredo  Jaar,Date,2002
Alfredo  Jaar,Date,2008
Alfredo  Jaar,Person,des Images
Alfredo  Jaar,Date,2006
Alfredo  Jaar,Date,2005
Alfredo  Jaar,Organization,Rwanda Project
Alfredo  Jaar,Date,1994-1998
Alfredo  Jaar,Date,1998
Alfredo  Jaar,Organization,Indianapolis Museum of Art
Alfredo  Jaar,Organization,Museum of Memory
